Tipo;Utilizador;Data de Início;Tempo de Toque;Duração;Data de Fim;Origem;Destino;Destino Final;Serviço;Telefone de Origem;Tipo de localização;Atendida;Tipo de Telefone;Contexto de Acesso da Chamada;Identificação Chamada;Identificador Global da Chamada;País;Causa de Não Atendimento;Total Chamadas da Origem
Chamada recebida;260283/962878547;2025-02-10 13:07:58;0:00:23;0:00:12;2025-02-10 13:08:33;'+35196675****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011739187170210130758000014041802';'7e4abdad-1420-4655-910f-1eb435ac7e40';;;1
Chamada Não Atendida;260283/962878568;2025-02-10 12:52:46;0:00:00;;2025-02-10 12:52:46;'+35193599****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011739166100210125246000014041802';'1d6f7d23-a7ef-4f87-bac0-6425767180b7';;Canceladas pela origem;4
Chamada Não Atendida;260283/962878547;2025-02-10 12:52:39;0:00:07;;2025-02-10 12:52:46;'+35193599****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011739191090210125239000014041802';'1d6f7d23-a7ef-4f87-bac0-6425767180b7';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-02-10 12:52:31;0:00:08;;2025-02-10 12:52:38;'+35193599****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011739112120210125231000014041802';'1d6f7d23-a7ef-4f87-bac0-6425767180b7';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-02-10 12:52:23;0:00:07;;2025-02-10 12:52:31;'+35193599****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011739138090210125223000014041802';'1d6f7d23-a7ef-4f87-bac0-6425767180b7';;Sem Resposta;0
Chamada Não Atendida;260283/400;2025-01-29 10:49:12;0:00:04;;2025-01-29 10:49:15;'+35122500****';'+351234246184';'260283.1704827218a.geo1';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Desconhecido;'00000011738123060129104912000014041800';'c1587291-0b99-4db6-b3cb-4d8b6cb3e402';;Canceladas pela origem;2
Chamada Não Atendida;260283/401;2025-01-29 10:48:57;0:00:04;;2025-01-29 10:49:01;'+35122500****';'+351234246185';'260283.1704827218a.geo2';Chamada voz;'260283.1704827218a.geo2';Nacional;Não atendida;Geográfico IP;Desconhecido;'00000011738172860129104857000014041800';'aac3960c-df58-4000-bc2a-b303cecc2784';;Canceladas pela origem;0
Chamada Não Atendida;260283/962878568;2025-01-28 17:16:37;0:00:07;;2025-01-28 17:16:44;'+35122500****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011738073990128171637000014041802';'0d13cc6f-13e5-46b7-87ff-88885a4afc56';;Sem Resposta;4
Chamada Não Atendida;260283/962878547;2025-01-28 17:16:29;0:00:07;;2025-01-28 17:16:37;'+35122500****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011738097850128171629000014041802';'0d13cc6f-13e5-46b7-87ff-88885a4afc56';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-01-28 17:16:22;0:00:07;;2025-01-28 17:16:29;'+35122500****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011738021850128171622000014041802';'0d13cc6f-13e5-46b7-87ff-88885a4afc56';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-01-28 17:16:14;0:00:08;;2025-01-28 17:16:22;'+35122500****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011738045120128171614000014041802';'0d13cc6f-13e5-46b7-87ff-88885a4afc56';;Sem Resposta;0
Chamada efetuada;260283/400;2025-01-28 11:04:15;0:00:08;;2025-01-28 11:04:23;'234246184';'93419****';'93419****';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Terminal IP;'00000011738055080128110415000014041800';'fc8307c3-e1ce-4fe3-99c2-1d54cdc545c9';;;0
Chamada efetuada;260283/400;2025-01-28 11:01:27;0:00:10;;2025-01-28 11:01:37;'234246184';'93599****';'93599****';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Terminal IP;'00000011738079850128110127000014041800';'23dc742a-1f0a-411c-bf3e-25b402e94245';;;0
Chamada Não Atendida;260283/401;2025-01-28 11:00:41;0:00:03;;2025-01-28 11:00:45;'4**';'401';'260283.1704827218a.geo2';Chamada voz;'260283.1704827218a.geo2';Nacional;Não atendida;Geográfico IP;Desconhecido;'00000011738017500128110041000014041801';'9675d560-2f47-430a-8632-7f7c47b01f89';;Canceladas pela origem;1
Chamada efetuada;260283/400;2025-01-28 11:00:41;0:00:04;;2025-01-28 11:00:45;'400';'4**';'4**';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Terminal IP;'00000011738016180128110041000014041800';'9675d560-2f47-430a-8632-7f7c47b01f89';;;0
Chamada Não Atendida;260283/962878547;2025-01-28 10:52:20;0:00:00;;2025-01-28 10:52:20;'23424****';'+351962878547';;Chamada voz;;Nacional;Não atendida;;Desconhecido;'00262012530834950128105220000014041800';'981f11f7-357d-4a2b-8749-c9db9260dff7';;Sem Resposta;1
Chamada efetuada;260283/400;2025-01-28 10:52:20;0:00:09;;2025-01-28 10:52:29;'234246184';'96287****';'96287****';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Terminal IP;'00000011738007610128105220000014041800';'8c83552d-a97f-42fe-9abb-ea5cf8a39635';;;0
Chamada Não Atendida;260283/401;2025-01-28 10:21:31;0:00:02;;2025-01-28 10:21:33;'4**';'401';'260283.1704827218a.geo2';Chamada voz;'260283.1704827218a.geo2';Nacional;Não atendida;Geográfico IP;Desconhecido;'00000011738015340128102131000014041801';'90d175c8-4e74-42ab-932f-2d91205fc5d8';;Canceladas pela origem;1
Chamada efetuada;260283/400;2025-01-28 10:21:31;0:00:02;;2025-01-28 10:21:33;'400';'4**';'4**';Chamada voz;'260283.1704827218a.geo1';Nacional;Não atendida;Geográfico IP;Terminal IP;'00000011738013410128102131000014041800';'90d175c8-4e74-42ab-932f-2d91205fc5d8';;;0
